"African"	"AfricanxMfalcata"	"AfricanxPeruvian"	"Chilean"	"ChileanSeedInc"	"ChileanxMfalcata"	"Ezra"	"Flemish"	"Indian"	"IndianxLadak"	"Ladak"	"Mfalcata"	"MfalcataSeedInc"	"MfalcataxPeruvian"	"Mvaria"	"NY1430"	"NY1517"	"NY1518"	"OneidaVR"	"Peruvian"	"Regen"	"SW315LH"	"Turkistan"	"Vernal"	"AfricanxChileanEst"	"AfricanxFlemishEst"	"AfricanxIndianEst"	"AfricanxLadakEst"	"AfricanxMfalcataEst"	"AfricanxMvariaEst"	"AfricanxPeruvianEst"	"AfricanxTurkistanEst"	"ChileanxFlemishEst"	"ChileanxIndianEst"	"ChileanxLadakEst"	"ChileanxMfalcataEst"	"ChileanxMvariaEst"	"ChileanxPeruvianEst"	"ChileanxTurkistanEst"	"FlemishxIndianEst"	"FlemishxLadakEst"	"FlemishxMfalcataEst"	"FlemishxMvariaEst"	"FlemishxPeruvianEst"	"FlemishxTurkistanEst"	"IndianxLadakEst"	"IndianxMfalcataEst"	"IndianxMvariaEst"	"IndianxPeruvianEst"	"IndianxTurkistanEst"	"LadakxMfalcataEst"	"LadakxMvariaEst"	"LadakxPeruvianEst"	"LadakxTurkistanEst"	"MfalcataxMvariaEst"	"MfalcataxPeruvianEst"	"MfalcataxTurkistanEst"	"MvariaxPeruvianEst"	"MvariaxTurkistanEst"	"PeruvianxTurkistanEst"
"African"	0.0976208038872955	-0.0182597805568556	0.0619204903240091	0.0598863303817358	0.054717246582526	-0.0359768896152171	0.0142465174058084	0.0313067482205268	0.057749538663849	0.0400674649112262	0.00411422346520097	-0.151862171093901	-0.164764191388316	-0.0378644300829904	0.0242221312709296	0.0147347304814667	0.00467852165621281	0.00951964946610809	0.0190952992269584	0.0523549064837359	0.0118910055089997	-0.0067563029736986	0.0564921423870585	0.00377700449481616	0.0871115644313357	0.0728217733507312	0.0860431685723923	0.0592255109730683	-0.0187626863064829	0.0692794648759326	0.0833458524823357	0.0854144704339971	0.0455965393011313	0.0588179345227924	0.0320002769234684	-0.0459879203560828	0.0420542308263327	0.0561206184327359	0.0581892363843972	0.0445281434421879	0.0177104858428639	-0.0602777114366873	0.0277644397457282	0.0418308273521313	0.0438994453037926	0.030931881064525	-0.0470563162150262	0.0409858349673893	0.0550522225737925	0.0571208405254538	-0.0738739738143502	0.0141681773680653	0.0282345649744684	0.0303031829261298	-0.0638200199114859	-0.0497536323050828	-0.0476850143534214	0.0382885188773327	0.0403571368289941	0.0544235244353972
"AfricanxMfalcata"	-0.0182597805568556	-0.0109046292580503	-0.0250636595354871	-0.0243757619386699	-0.0300999083476325	-0.0369781761804101	-0.0420369056391127	-0.0350171479197626	-0.0265339648121889	-0.0253866119100064	-0.0368489610899301	-0.043614096700202	-0.0590428650525363	-0.0374733787613245	-0.0327616094519224	-0.0427927983229701	-0.0471917452544597	-0.045830273224225	-0.0390586820928182	-0.0300278510628267	-0.0431739026781191	-0.0496270559586845	-0.0154115114735541	-0.0366984734510908	-0.0213177712477628	-0.0266384642383091	-0.0223968726845223	-0.0275543708233928	-0.0309369386285288	-0.025510695004389	-0.0241438158098411	-0.0168356460152048	-0.0296964549292162	-0.0254548633754294	-0.0306123615143	-0.0339949293194359	-0.0285686856952962	-0.0272018065007483	-0.019893636706112	-0.0307755563659757	-0.0359330545048463	-0.0393156223099823	-0.0338893786858425	-0.0325224994912946	-0.0252143296966583	-0.0316914629510595	-0.0350740307561954	-0.0296477871320557	-0.0282809079375078	-0.0209727381428715	-0.040231528895066	-0.0348052852709263	-0.0334384060763784	-0.0261302362817421	-0.0381878530760622	-0.0368209738815143	-0.029512804086878	-0.0313947302573745	-0.0240865604627382	-0.0227196812681904
"AfricanxPeruvian"	0.0619204903240091	-0.0250636595354871	0.0706868382073891	0.0597506607536555	0.055005559603108	-0.037741687711581	0.0127813125983706	0.0299026736275558	0.0545441143275665	0.0375883432313834	0.0019735800269514	-0.15783494742929	-0.169385425561241	-0.0361285659919342	0.0222912021982384	0.0131662268419977	0.00440533758303328	0.00921602800169076	0.0172248062969787	0.0567293814001262	0.010521578222968	-0.00842115215273945	0.0514672532973345	0.00178422008741334	0.0608355755388323	0.0459115819757825	0.0582323023257878	0.0319470351754803	-0.0479572285526404	0.0421058462611238	0.0593249358620677	0.0566938718106718	0.0448266671906057	0.057147387540611	0.0308621203903035	-0.0490421433378173	0.0410209314759469	0.0582400210768909	0.055608957025495	0.0422233939775612	0.0159381268272536	-0.0639661369008671	0.0260969379128971	0.043316027513841	0.0406849634624452	0.028258847177259	-0.0516454165508617	0.0384176582629025	0.0556367478638464	0.0530056838124505	-0.0779306837011693	0.0121323911125949	0.0293514807135388	0.026720416662143	-0.0677718726155258	-0.0505527830145819	-0.0531838470659777	0.0395102917991823	0.0368792277477865	0.0540983173487304
"Chilean"	0.0598863303817358	-0.0243757619386699	0.0597506607536555	0.0952782894457932	0.0800465470082131	-0.0213590631905357	0.0189250058235282	0.0358548875800531	0.057578676454907	0.0421971502584256	0.00677927660236686	-0.153648400237027	-0.166797844732707	-0.0350725607712617	0.0278918834855483	0.0194510764934839	0.010605490955201	0.0156974262861195	0.0234208619704184	0.0575667476276223	0.0152534798394757	-0.00354357540973466	0.0542264056596589	0.00688653961913208	0.0845550028332773	0.0478706089808945	0.0587325034183214	0.0333328034920514	-0.0468810349276458	0.043889106933642	0.0587265390046791	0.0570563680206974	0.072539281432436	0.0834011758698629	0.0580014759435929	-0.0222123624761043	0.0685577793851836	0.0833952114562206	0.0817250404722389	0.0467167820174801	0.02131708209121	-0.0588967563284872	0.0318733855328007	0.0467108176038377	0.045040646619856	0.0321789765286369	-0.0480348618910602	0.0427352799702276	0.0575727120412646	0.0559025410572829	-0.0734345618173303	0.0173355800439576	0.0321730121149946	0.0305028411310129	-0.0628782583757396	-0.0480408263047026	-0.0497109972886843	0.0427293155565853	0.0410591445726036	0.0558965766436406
"ChileanSeedInc"	0.054717246582526	-0.0300999083476325	0.055005559603108	0.0800465470082131	0.0968501960676646	-0.0277817014992949	0.0124780201537596	0.0290650172553345	0.0523530353715341	0.0366287070883349	0.00268502922601549	-0.159463709518794	-0.171735676192077	-0.0412332580825204	0.0212064433956459	0.0136552208952382	0.00444007759114488	0.0101237432733953	0.01665737818929	0.0525216873773604	0.01026769426643	-0.0101947347631357	0.048281645404951	0.00078582841711356	0.0673818967953695	0.0418911319189302	0.0535351409770301	0.0287011379042707	-0.0523732314681342	0.037961844989086	0.0536194669799432	0.0514994459937385	0.0545557821317738	0.0661997911898736	0.0413657881171143	-0.0397085812552906	0.0506264952019295	0.0662841171927867	0.064164096206582	0.0407090263134343	0.015875023240675	-0.0651993461317299	0.0251357303254902	0.0407933523163475	0.0386733313301427	0.0275190322987748	-0.0535553370736301	0.03677973938359	0.0524373613744473	0.0503173403882426	-0.0783893401463894	0.0119457363108307	0.0276033583016879	0.0254833373154832	-0.0691286330615742	-0.053471011070717	-0.0555910320569217	0.0368640653865032	0.0347440444002985	0.0504016663911557
"ChileanxMfalcata"	-0.0359768896152171	-0.0369781761804101	-0.037741687711581	-0.0213590631905357	-0.0277817014992949	-0.0229255476068603	-0.0494321723810148	-0.0427027077214079	-0.03864504102037	-0.0353967756306487	-0.0436128103047533	-0.0491358787019388	-0.0622945512221378	-0.0429755759730726	-0.0411038144529681	-0.0497695347480916	-0.0536765767216162	-0.0514390498825853	-0.0465756413362792	-0.0371982557781583	-0.049861448209077	-0.0567025071050941	-0.0274956582963482	-0.0438390771577721	-0.0286679764028764	-0.0393397986683125	-0.0373109653177935	-0.0397948499599852	-0.042556384158578	-0.0385403520340926	-0.0365875726966877	-0.0317362739557826	-0.0320308854559718	-0.0300020521054528	-0.0324859367476445	-0.0352474709462372	-0.0312314388217519	-0.029278659484347	-0.0244273607434419	-0.040673874370889	-0.0431577590130806	-0.0459192932116734	-0.041903261087188	-0.0399504817497831	-0.035099183008878	-0.0411289256625616	-0.0438904598611544	-0.039874427736669	-0.0379216483992642	-0.0330703496583591	-0.046374344503346	-0.0423583123788607	-0.0404055330414558	-0.0355542343005507	-0.0451198465774535	-0.0431670672400486	-0.0383157684991435	-0.0391510351155632	-0.0342997363746581	-0.0323469570372533
"Ezra"	0.0142465174058084	-0.0420369056391127	0.0127813125983706	0.0189250058235282	0.0124780201537596	-0.0494321723810148	0.0286441790310602	0.00891393766431235	0.0106247006053119	0.00823187971326223	-0.0123382830777752	-0.131066087904591	-0.145015574396626	-0.0520568060148448	0.00375837130048951	0.0116542253109991	0.00224779986633492	0.00561910431208418	0.0111298329464014	0.0115952535034221	0.0100311063487255	-0.00830117876938301	0.0205553374355508	-0.0088690832634832	0.0165857616146683	0.0115802275350604	0.0124356090055602	0.000954117164016599	-0.0584097852493913	0.00900244435314896	0.0129208854546152	0.0174009274206796	0.0139194717439203	0.0147748532144201	0.00329336137287649	-0.0560705410405314	0.0113416885620088	0.0152601296634751	0.0197401716295395	0.00976931913481214	-0.00171217270673142	-0.0610760751201393	0.00633615448240093	0.0102545955838672	0.0147346375499316	-0.000856791236231633	-0.0602206936496395	0.00719153595290072	0.011109977054367	0.0155900190204314	-0.0717021854911831	-0.00428995588864284	-0.000371514787176563	0.0041085271788878	-0.0636538583020507	-0.0597354172005845	-0.0552553752345201	0.00767681240195579	0.0121568543680202	0.0160752954694864
"Flemish"	0.0313067482205268	-0.0350171479197626	0.0299026736275558	0.0358548875800531	0.0290650172553345	-0.0427027077214079	0.00891393766431235	0.0661157246495509	0.0271827665085878	0.0207446788830951	-0.00278263494011734	-0.138354812179144	-0.150933015495707	-0.0447635933285181	0.0157079750696162	0.0081857054710105	0.00014252602034991	0.00492950019278224	0.0126584977752611	0.0279822125758902	0.00718776756289021	-0.00848313613843685	0.032058015539106	-0.00576163176207135	0.0335808179002899	0.0625539889632747	0.0292447573645573	0.0142620566402047	-0.0535240319793086	0.0235073616450715	0.0296444803982085	0.0316823818798164	0.0648280586430379	0.0315188270443204	0.0165361263199679	-0.0512499622995454	0.0257814313248347	0.0319185500779717	0.0339564515595796	0.0604919981073052	0.0455092973829527	-0.0222767912365606	0.0547546023878195	0.0608917211409565	0.0629296226225644	0.0122000657842352	-0.0555860228352781	0.021445370789102	0.027582489542239	0.0296203910238469	-0.0705687235596306	0.00646267006474945	0.0125997888178864	0.0146376902994943	-0.0613234185547638	-0.0551862998016269	-0.0531483983200189	0.0218450938227532	0.0238829953043611	0.0300201140574981
"Indian"	0.057749538663849	-0.0265339648121889	0.0545441143275665	0.057578676454907	0.0523530353715341	-0.03864504102037	0.0106247006053119	0.0271827665085878	0.0943521490391982	0.0433581288259599	0.00149120477261347	-0.157610336905698	-0.168813387097913	-0.0409919820215707	0.0213778934629127	0.0124093191641619	0.00191980308668844	0.00760774955390469	0.0163143505352302	0.0505259806774582	0.00881091471886912	-0.0110032558330501	0.0503328454015005	-0.000161111203173986	0.057664107559378	0.0424661525862184	0.0868447239483319	0.0296203717182313	-0.0499303991209246	0.0395637160633809	0.0541377596706536	0.0540411920326748	0.0423807214817474	0.0867592928438609	0.0295349406137602	-0.0500158302253957	0.0394782849589098	0.0540523285661826	0.0539557609282038	0.0715613378707013	0.0143369856406006	-0.0652137851985553	0.0242803299857502	0.038854373593023	0.0387578059550441	0.0587155570027141	-0.0208352138364418	0.0686589013478637	0.0832329449551365	0.0831363773171577	-0.0780595660665424	0.0114345491177631	0.0260085927250359	0.025912025087057	-0.0681162217213928	-0.05354217811412	-0.0536387457520989	0.0359519370701855	0.0358553694322066	0.0504294130394794
"IndianxLadak"	0.0400674649112262	-0.0253866119100064	0.0375883432313834	0.0421971502584256	0.0366287070883349	-0.0353967756306487	0.00823187971326223	0.0207446788830951	0.0433581288259599	0.0447155877097018	0.00681348796916305	-0.12904041777952	-0.141964024343885	-0.0378978623546378	0.0171677601201836	0.0077730379530337	0.000497578323657054	0.0044847551568876	0.0127313108674271	0.0345841330862963	0.00675609347270154	-0.0095651789778975	0.040902228425017	0.000853768217872635	0.0411323075848259	0.0304060718971606	0.0417127968685931	0.0234404764401946	-0.0444864764341468	0.0286176125157049	0.0373257989987613	0.0404848466681216	0.0314709145707603	0.0427776395421928	0.0245053191137943	-0.0434216337605471	0.0296824551893046	0.0383906416723609	0.0415496893417213	0.0320514038545275	0.0137790834261291	-0.0541478694482124	0.0189562195016393	0.0276644059846957	0.030823453654056	0.0250858083975615	-0.0428411444767799	0.0302629444730718	0.0389711309561281	0.0421301786254885	-0.0611134649051784	0.0119906240446733	0.0206988105277297	0.02385785819709	-0.0559363288296681	-0.0472281423466118	-0.0440690946772514	0.02587594660324	0.0290349942726003	0.0377431807556567
"Ladak"	0.00411422346520097	-0.0368489610899301	0.0019735800269514	0.00677927660236686	0.00268502922601549	-0.0436128103047533	-0.0123382830777752	-0.00278263494011734	0.00149120477261347	0.00681348796916305	0.028992092889718	-0.105957467586947	-0.11569786741993	-0.0458780705997022	-0.00335136148193876	-0.0129310345835538	-0.0189347276570143	-0.0148131541348765	-0.00875817897179375	0.00121342174083971	-0.0127849624679087	-0.0235825847069672	0.016371647251839	-0.0136088038163308	0.00544675003378391	0.000665794262541814	0.00280271411890722	0.026313989786497	-0.0509216220608729	0.000381430991631105	0.00266382260302034	0.01024293535852	0.00199832083112476	0.00413524068749017	0.0276465163550799	-0.0495890954922899	0.00171395756021405	0.00399634917160328	0.0115754619271029	-0.000645715083751933	0.0228655605838378	-0.054370051263532	-0.00306699821102805	-0.000784606599638815	0.00679450615586081	0.0250024804402032	-0.0522331314071666	-0.000930078354662643	0.00135231325672659	0.00893142601222622	-0.0287218557395769	0.0225811973129271	0.0248635889243163	0.032442701679816	-0.0546544145344427	-0.0523720229230535	-0.0447929101675539	-0.00106896987054952	0.0065101428849501	0.00879253449633933
"Mfalcata"	-0.151862171093901	-0.043614096700202	-0.15783494742929	-0.153648400237027	-0.159463709518794	-0.0491358787019388	-0.131066087904591	-0.138354812179144	-0.157610336905698	-0.12904041777952	-0.105957467586947	0.133055673991449	0.0982274888548116	-0.0441652986614908	-0.121680917677964	-0.132816844128969	-0.129521418954923	-0.136136057735208	-0.13032453594958	-0.156851961692775	-0.131162656533769	-0.118628230778357	-0.128433620496703	-0.102405246918959	-0.152755285665464	-0.145108491636523	-0.1547362539998	-0.128909819340424	-0.000148395283810226	-0.136771544385933	-0.154357066393338	-0.140147895795302	-0.146001606208086	-0.155629368571363	-0.129802933911987	-0.00104150985537325	-0.137664658957496	-0.155250180964901	-0.141041010366865	-0.147982574542421	-0.122156139883045	0.00660528417356853	-0.130017864928554	-0.147603386935959	-0.133394216337924	-0.131783902246323	-0.00302247818970868	-0.139645627291831	-0.157231149299237	-0.143021978701201	0.0228039564696671	-0.113819192632455	-0.131404714639861	-0.117195544041825	0.0149422314241584	-0.00264329058324702	0.011565880014789	-0.13926643968537	-0.125057269087334	-0.142642791094739
